,Document,Topic,Name,Top_n_words,Probability,Representative_document
19,"rt : im hungry, my vape comes in clutch",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.986939945,FALSE
22,see me when you see me if its smoke dawg your unleashy,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.940728758,FALSE
30,rt : smoke with me?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
38,rt : lets smoke then fuck,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.940368727,FALSE
43,rt : mmm come smoke with me? #nsfwtwt #nsfwtwt #nsfwtwt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.858625044,FALSE
50,* you see me blowing a big cloud of smoke out of my mouth at an event? * that's canon! * and because my body is shoddily made and emits smoke constantly!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
54,some of una don smoke estate,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.898976554,FALSE
72,hes an oligarch lol wtf do you smoke? change your dealer boy,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.964357869,FALSE
75,rt : hang on what is this about the vape-smoking doorman that was a witness at the trial getting arrested at jds show last,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
78,my dawg dont smoke on shit unless its unleaded,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.928627037,FALSE
97,"i just wanna get out of work, sit back, open an alcoholic beverage, see my cute gf &amp; smoke.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
98,rt : come smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.897711226,FALSE
118,he was on smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
131,for the th time i dont smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.93836027,FALSE
137,"rt : prompt: press if this is how he goes, that's fine. #dnd #oc #dailydraw next: smoke",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.731899063,FALSE
151,rt : watch him while i go smoke ill brb,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
152,no it's currently burning i tried to film the smoke and failed,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
168,estoy a punto de tirar mi vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.593090386,FALSE
171,aint smoke in almost weeks after today tryna hood out till my birthday so i could be mad zooted,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.963210189,FALSE
175,rt : i went to his story and hes blowing hookah smoke all in the camera,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
182,{he nods as cg prepares to smoke up the room},0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.947847217,FALSE
207,thats why ion smoke with mofos niggas dont even brush they teeth now we all gotta have butt breathe cause you dirty,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.800896851,FALSE
210,necesito un vape con urgencia,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.646990698,FALSE
230,"you can do a lineup from that box with the gold lock and look up in the sky to throw a better, faster, and safer smoke. not sure sure he threw this one unless i'm missing something. maybe it was an old lineup he's just used to throwing idk",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.828464911,FALSE
232,i gave vanessa big lecture how harmful vaping can be to children they are for adults not for growing bodies and minds and i gave her a bibliography of reliable resources why mikayla is in trouble,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.83129506,FALSE
247,rt : hanging with world series champion troy snitker! so very proud of this young man! never give up on your dreams! smoke em if,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
257,him eyes are yellow cause he used to smoke cigarettes he is,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
267,establish smoke else ben works survive computed marriage.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.354368792,FALSE
278,todays smoke will be an umnum,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
288,rt : smoke with me,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.943907635,FALSE
304,rt : when i say come smoke with me,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
307,"why the heck he didnt endorse governor hochuls campaign earlier??? everyone has smoke for oprah endorsing late, but not this man who majority of his supporters are voting for lee zeldin? the caucasity.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
308,bro think its better to smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
314,rt : ctm lei esto con un vape en la mano,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.373181369,FALSE
334,"he is entitled to his views, just like how in certain states its legal to smoke weed. just because youre allowed to do it, doesnt mean your employer has to put up with it.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
335,rt : smoke a spliff &amp; get these locks in every sunday,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.813727894,FALSE
344,"see me when you see me, if it's smoke, dawg, unleash it",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
359,i cant smoke around the hoes ill become doodle bob version of myself,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.919698934,FALSE
374,rt : smoke sesh twtter space??,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
382,"yeah! i am. because im not. ( hes leaning against a nearby wall, holding onto his stupid vape for dear life for some reason, he wont walk away. )",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
389,see me when u see me if its smoke dawgy unleash ittttt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.489690933,FALSE
393,"he doesn't smoke, he prays, and his family is very good from a village in guelmim region, he was a reporter in morocco but now he is in france without papers though but his sister is in france and has her kids here. he is a distant cousin of my husband.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.978177301,FALSE
396,rt : i need to smoke with him im so serious,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
405,"ay u right, i been taking too much smoke to the foch.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
416,rt : snakeinthetrap: homie hmu and asked if he could smoke while i eat on him,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
420,rt : him as colin vaping in not okay set,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.815284312,FALSE
434,rt : come eat out this pussy while i smoke this blunt,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
439,rt : el mejor regalo de navidad que me podran dar es que mis amigos dejaran el vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.596953678,FALSE
446,"rt : fukka-san in the midst of soundcheck during boku to kimi to, while the lifter was moving up, the lighting and smoke wa",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
447,its not even one of the elegant flavors its like. root beer or cotton candy. hes just this intimidating mob boss with a monocle and top hat blowing the thickest fruit-scented vape clouds,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.79158595,FALSE
454,any one wanna smoke ?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.799079883,FALSE
460,"the magister of shadows fell into the void and fought rocie the magister of smoke. the magister of shadows was never dismissive, for the rocie the magister of smoke was always too disoriented.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
462,"yeah, its the arrogance for me, blue tickers blowing smoke up his arse dont help matters. even a broken clock is right twice a day.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
472,"holding the smoke in his hands , his eyes admiring the view . none here darling ~",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
481,"see me when you see me, if it's smoke, dawg, unleashy",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.863860658,FALSE
485,"rt : i imagine he lives within the smoke that curls around his body, the exotic and hypnotic rhythm of his waist against mine as",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
488,probably i smoke u which makes quite difficult differentiating!,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
490,"i'm going outside to smoke, someone watch him.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
507,when im smoking im calm cool collected of hard to anger no hot blood pressure no cholesterol problems or anything else just aches and pains now that im in a nicotine fit i cant stop shaking a can you stop eating the more i eat tomorrow wanna smoke,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
509,i remember when joey lagano was the kid they hired to replace smoke. now he's the old man of the playoff finals?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.724263914,FALSE
515,see kids this is why we dont smoke while we pack because i just realized i forgot my ski boots lmao,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.799878856,FALSE
516,"this guys outchea buying cigarettes with flavor, just buy a fucking vape bro, tf?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.762582412,FALSE
530,jorge masvidal predicts that dustin poirier will smoke michael chandler at ufc,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.745742415,FALSE
539,rt : wanna smoke before or after we fuck?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
541,rewatch march of the oni and youll see the consequences that arrive from vaping,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.95382377,FALSE
562,"i don't back and forth over no net, so just go and dead it. see me when you see me, if it's smoke dawg unleash it",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.551262379,FALSE
578,el vaping huele a pedo.,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.380133974,FALSE
597,never had a problem i couldn't smoke out mary jane bff,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
600,my therapist straight up told me to smoke some peyote i dont know if thats a good thing,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
603,yeah but he doesnt smoke that much weed hes a classy man,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
614,"he is everywhere! wrasslin, thirst trappin, hiding in plain sight (and smoke?). can't escape his wrath! i better set a reminder to watch! (tix to nj were way too expensive for one day.)",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
618,"wherere his caseworkers? wheres dr. jill? they all out on the south portico, takin a smoke or something, while leaving slojoe unsupervised?",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
621,smoke a j which im currently doing because same lol,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
624,rt : who wanna smoke with me?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.874294811,FALSE
633,rt : can he smoke more? can he fuck more?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.810206078,FALSE
637,"rt : chicago dl thug told me to pull up on him to smoke , but he ended up nutting on my face..",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
638,jotaro teasing kakyoin to kiss him by blowing the smoke gently near his lips,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.89422919,FALSE
664,rt : anyone else got michael chandler to smoke dustin poirier ?,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
676,"see me when u see me, if its smoke, dawg, youre unleashy",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.542722822,FALSE
677,i cant smoke my opps cuz all my opps is dust,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.940550202,FALSE
681,have you ever tried to smoke a hard wallet? in my alternative reality you can do this alternative reality $eth | fnd | /1,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
686,rt : all he do is eat bacon and smoke cigars smh,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
690,"babe, come over and let's smoke sprigatito.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.986256362,FALSE
693,"rt : bitches be like i hate people that smoke until its louis tomlinson its me, im bitches",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
697,carol burnett invited to the smoke sesh,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.86974104,FALSE
702,"omg what is that?! i do not smoke, this is my cousins bag, he's from texas",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.934757998,FALSE
715,"rt : this is a powerful image. eth holds court, centre stage amongst unequivocal support for him and his team. smoke rises",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.794018815,FALSE
729,"okay but why doesn't he have to pause? he still has to move his head to smoke the joint, he just cut out one step",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
733,"this is true. all these qualities fit my husband to a t. when we fell in love he didnt have cbucks in his pocket. now hes running jobs and providing, and does not smoke cherry vapes lol",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.953044118,FALSE
735,rt : imagine someone asks if u wanna hit their vape so u say yes and its avocado flavored,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
738,i can't smoke my opps cause all my opps is dust,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
747,rt : otra decepcin amorosa y pruebo ese tal vape,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.370230476,FALSE
752,see me when ya see me if its smoke dawgy unleash it,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
761,creo que terminara ahorrando plata si compro un vape y ya,0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,0.398384242,FALSE
797,"'do you smoke?' he asked softly, like justin was made of glass, and justin nodded, though he couldnt remember the last time hed found a packet of cigarettes here.",0,0_hes_smoke_vape_dont,hes - smoke - vape - dont - im - see - rt - cant - come - fuck,1,FALSE
